Consumer	Sex	Age
C1	1	46
C2	2	48
C3	1	62
C4	1	53
C5	2	50
C6	1	52
C7	2	38
C8	1	35
C9	1	62
C10	1	44
C11	2	41
C12	2	31
C13	2	53
C14	2	42
C15	1	33
C16	2	55
C17	1	35
C18	1	54
C19	1	50
C20	1	59
C21	1	38
C22	2	36
C23	2	44
C24	1	54
C25	1	50
C26	2	45
C27	2	48
C28	2	45
C29	1	45
C30	2	41
C31	1	43
C32	1	44
C33	2	47
C34	2	35
C35	1	40
C36	1	45
C37	1	58
C38	2	40
C39	1	51
C40	1	54
C41	1	44
C42	2	56
C43	2	32
C44	1	62
C45	2	62
C46	2	41
C47	1	67
C48	2	42
C49	2	48
C50	2	39
C51	1	55
C52	2	61
C53	1	61
C54	2	46
C55	1	64
C56	1	64
C57	1	32
C58	1	45
C59	1	30
C60	2	58
C61	2	42
C62	2	44
C63	1	48
C64	2	70
C65	1	64
C66	2	60
C67	2	36
C68	2	36
C69	1	34
C70	2	43
C71	2	44
C72	1	50
C73	2	38
C74	2	42
C75	1	38
C76	2	38
C77	2	37
C78	1	52
C79	2	47
C80	1	48
C81	1	43
